hop_name,location,code,ptr_lat,ptr_lon,ptr_city
be2209.agr62.dfw01.atlas.cogentco.com,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
be4466.rcr51.b019138-1.mil02.atlas.cogentco.com,mil,IT-25,45.6306,8.72811,Milan
be2079.agr61.dfw01.atlas.cogentco.com,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
be4691.rcr71.b059724-0.dfw01.atlas.cogentco.com,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
po204.asw03.hou1.tfbnw.net,hou,US-TX,29.645399,-95.2789,Houston
msw1ad.01.hou1.tfbnw.net,hou,US-TX,29.645399,-95.2789,Houston
po205.asw02.dfw1.tfbnw.net,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
msw1ao.02.dfw5.tfbnw.net,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
be3579.rcr51.lba01.atlas.cogentco.com,lba,GB-ENG,53.865898,-1.66057,Leeds
be3219.rcr71.goa01.atlas.cogentco.com,goa,IT-42,44.4133,8.8375,Genova
vl202.hou-cyr1-dist-1.cdn77.com,hou,,,,
be2352.rcr51.b056604-0.phx01.atlas.cogentco.com,phx,US-AZ,33.434299,-112.012001,Phoenix
po12.es01.dfw001.ix.nflxvideo.net,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
po4.es02.dfw001.ix.nflxvideo.net,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
be2351.rcr51.b056604-0.phx01.atlas.cogentco.com,phx,US-AZ,33.434299,-112.012001,Phoenix
be2445.rcr71.b000326-1.dfw03.atlas.cogentco.com,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
be2225.nr61.b000326-1.dfw03.atlas.cogentco.com,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
be3877.ccr71.for01.atlas.cogentco.com,for,BR-CE,-3.77628,-38.5326,Fortaleza
be2842.rcr22.lis01.atlas.cogentco.com,lis,PT-11,38.7813,-9.13592,Lisbon
po71-3545.cr01.mia02.us.misaka.io,mia|us,US-FL,25.7932,-80.290604,Miami
be5557.nr61.b071079-0.lhr01.atlas.cogentco.com,lhr,GB-ENG,51.4706,-0.461941,London
be2551.ccr42.dca01.atlas.cogentco.com,dca,US-DC,38.8521,-77.037697,Washington
po203.asw02.hou1.tfbnw.net,hou,US-TX,29.645399,-95.2789,Houston
msw1ah.01.hou1.tfbnw.net,hou,US-TX,29.645399,-95.2789,Houston
be-35441-arsc1.bisbee.tx.houston.comcast.net,bisbee|tx,,,,
ae-501-ar01.bisbee.tx.houston.comcast.net,bisbee|tx,,,,
